tag,release_datetime
v1.1.0-beta,2024-10-24T09:31:40
v1.1.1-beta,2024-10-31T10:34:49
v1.1.2-beta,2024-11-07T14:26:06
v1.1.3-beta,2024-11-15T11:39:27
v1.1.4-beta,2024-11-21T11:54:35
v1.1.5-beta,2024-11-28T11:14:35
v1.1.6-beta,2024-12-05T13:30:57
v1.1.7-beta,2025-01-08T16:13:08
v1.1.8-beta,2025-01-27T11:07:37
v1.2.2-beta,2025-03-19T17:47:30
v1.3.0-beta,2025-05-30T13:23:47
v1.3.1-beta,2025-06-20T15:25:29
v1.3.2-beta,2025-06-24T14:48:53
v1.4.0-beta,2025-06-27T12:13:41
v1.4.1-beta,2025-07-02T14:30:28
v1.4.2-beta,2025-07-07T13:08:27
v1.4.3-beta,2025-07-14T08:20:16
v1.4.4-beta,2025-07-17T08:42:44
v1.4.5-beta,2025-07-23T16:04:43
