tag,release_datetime
v1.0.417-beta,2024-09-25T08:39:29
3087117,2024-09-26T10:35:04
1fdeff8,2024-09-30T10:09:42
eefc68b,2024-10-01T08:27:38
903f42f,2024-10-09T08:09:32
b32649a,2024-10-24T08:03:56
v1.1.0-beta,2024-10-24T08:26:04
v1.1.1-beta,2024-10-31T10:24:10
e0f556e,2024-11-04T10:40:18
v1.1.2-beta,2024-11-07T14:21:18
v1.1.3-beta,2024-11-15T11:36:00
v1.1.4-beta,2024-11-21T11:44:53
v1.1.5-beta,2024-11-28T11:05:19
v1.1.6-beta,2024-12-05T12:44:30
v1.1.7-beta,2025-01-08T16:09:09
v1.1.8-beta,2025-01-20T09:06:38
79f40ec,2025-02-17T11:04:43
78f08cf4,2025-03-19T14:36:57
v1.2.0-beta,2025-03-19T15:01:04
ca26bbf0,2025-03-19T16:03:49
v1.2.1-beta,2025-03-19T16:22:04
d999dae2,2025-03-19T17:17:01
v1.2.2-beta,2025-03-19T17:33:35
31ef84b7,2025-03-20T09:33:33
c2e8fc69,2025-03-20T17:03:26
061d8802,2025-03-21T11:40:27
