tag,release_datetime
v1.3.1-beta,2025-06-23T09:17:25
v1.3.2-beta,2025-06-25T08:07:43
v1.4.0-beta,2025-06-30T10:47:56
v1.4.1-beta,2025-07-03T07:47:03
v1.4.2-beta,2025-07-08T09:13:03
v1.4.3-beta,2025-07-16T09:11:34
v1.4.4-beta,2025-07-22T09:39:17
v1.4.5-beta,2025-07-29T09:16:22
v1.4.6-beta,2025-08-05T09:07:09
v1.5.0-beta,2025-08-19T09:17:32
v1.5.1-beta,2025-09-02T09:11:03
v1.5.2-beta,2025-09-09T09:06:41
v1.6.0-beta,2025-09-16T09:14:06
v1.6.1-beta,2025-09-23T09:39:36
v1.6.2-beta,2025-10-07T09:12:52
v1.6.4-beta,2025-10-14T09:18:41
v1.6.5-beta,2025-10-20T11:28:32
v1.6.6-beta,2025-10-28T11:09:12
v1.6.7-beta,2025-11-04T11:21:18
v1.6.8-beta,2025-11-11T10:23:27
v1.6.9-beta,2025-11-18T10:56:42
