tag,release_datetime
v1.1.0-beta,2024-10-24T08:28:17
v1.1.1-beta,2024-10-31T10:24:17
v1.1.2-beta,2024-11-07T14:21:21
v1.1.4-beta,2024-11-21T11:44:49
v1.1.5-beta,2024-11-28T11:05:30
v1.1.6-beta,2024-12-05T13:29:51
v1.1.7-beta,2025-01-08T16:08:58
v1.1.8-beta,2025-01-20T09:06:44
v1.2.0-beta,2025-03-19T15:00:47
v1.2.1-beta,2025-03-19T16:22:24
v1.2.2-beta,2025-03-19T17:33:09
PR-809,2025-05-27T15:21:09
PR-809,2025-05-28T10:09:16
v1.3.1-beta,2025-06-20T15:15:23
v1.3.2-beta,2025-06-24T14:34:33
v1.4.0-beta,2025-06-27T13:04:48
v1.4.1-beta,2025-07-02T14:17:33
v1.4.2-beta,2025-07-07T12:49:49
v1.4.3-beta,2025-07-14T08:08:20
v1.4.4-beta,2025-07-17T08:35:08
v1.4.5-beta,2025-07-23T15:19:06
